Authors,Title,Publication,Volume,Number,Pages,Year,Publisher,id
"DeRidder, Jody L; ",Choosing software for a digital library,Library hi tech news,24.0,9/10,19-21,2007,Emerald Group Publishing Limited,842f4fd2907ea92c57e2c2866d1617e4
"Hwang, Wu-Yuin; Wang, Chin-Yu; Sharples, Mike; ",A study of multimedia annotation of Web-based materials,Computers & Education,48.0,4,680-699,2007,Pergamon,20ade2631871c5c555789e7263989b59
"Tansley, Robert; Bass, Mick; Stuve, David; Branschofsky, Margret; Chudnov, Daniel; McClellan, Greg; Smith, MacKenzie; ",The DSpace institutional digital repository system: current functionality,"2003 Joint Conference on Digital Libraries, 2003. Proceedings.",,,87-97,2003,IEEE,10ae2aeb433659270d8f2d729cf65201
"Ovsiannikov, Ilia A; Arbib, Michael A; McNeill, Thomas H; ",Annotation technology,International journal of human-computer studies,50.0,4,329-362,1999,Academic Press,f4c6c90a87ffebda0f2432d3bd791c05
"Singhal, Amit; ",Modern information retrieval: A brief overview,IEEE Data Eng. Bull.,24.0,4,35-43,2001,,19147da3fd83b2237c6eef29f045f548
"Kobayashi, Mei; Takeda, Koichi; ",Information retrieval on the web,ACM computing surveys (CSUR),32.0,2,144-173,2000,"ACM New York, NY, USA",fbce330bb3176ad9399a6a042c57fa2e
"Baeza-Yates, Ricardo; Ribeiro-Neto, Berthier; ",Modern information retrieval,,463.0,1999,,1999,ACM press New York,e4b47a59014503eefc98cad888c844ca
"Chowdhury, Gobinda G; ",Introduction to modern information retrieval,,,,,2010,Facet publishing,fc5bb44cdccba995bd412254ca0fdaf8
"Jones, Karen Sparck; Willett, Peter; ",Readings in information retrieval,,,,,1997,Morgan Kaufmann,7c40e72c518350c8baff2149acdc444f
"Manning, Christopher D; ",An introduction to information retrieval,,,,,2009,Cambridge university press,c07a14589b3c815d74a5f214d5f0f394
"Schütze, Hinrich; Manning, Christopher D; Raghavan, Prabhakar; ",Introduction to information retrieval,,39.0,,,2008,Cambridge University Press Cambridge,4922bb8d9722de5dcb4c6def1552b210
謝寶煖; ,專利與專利資訊檢索,"大學圖書館, 2 (4)",,,111-127,1998,臺北市: 國立臺灣大學圖書資訊學系,fad2cb5b4698eba1b31055f6c5257fa7
江玉婷; ,中文資訊檢索測試集設計與製作之研究,,,,,1999,,bd3e75ebb9d467d02bf61e35c35f2ca7
陳光華; ,資訊檢索之績效評估,2004 年現代資訊組織與檢索研討會論文集,,,125-139,2004,臺北: 淡江大學,2f198848d7806e84316baa36f24122ed
黃慕萱; 陳明君; ,檢索問題對資訊尋求和資訊檢索之影響,"大學圖書館, 3 (3)",,,11-32,1999,臺北市: 國立臺灣大學圖書資訊學系; 國立臺灣大學圖書館特藏組,a30876333614125d474af9610a03d8a8
陳光華; 江玉婷; ,中文資訊檢索測試集之設計與製作,資訊傳播與圖書館學,6.0,3,61-80,2000,臺北市: 國立臺灣大學圖書資訊學系,cf01440854118903748131c4c86a95bf
李建志; ,應用混合式機率模型於新聞資訊檢索之研究,,,,,2002,,2d6f5f2cf515173a9860cb90b67a04c7
陳光華; 莊雅蓁; ,應用於資訊檢索的中文同義詞之建構,"資訊傳播與圖書館學, 8 (1), 2001 年 9 月",,,59-75,2001,臺北市: 國立臺灣大學圖書資訊學系,d7930d5890cf9109b2b0872c58a3736c
江玉婷; 陳光華; ,TREC 現況及其對資訊檢索研究之影響,圖書與資訊學刊,,29,36-59,1999,臺北市: 國立臺灣大學圖書資訊學系,9f88a3d1f99cf5ee148b82aa4b0f8be3
張凱傑; ,視覺化資訊檢索介面評估—以 EBSCOhost 2.0 為例,,,,,2010,國立臺灣大學,2be3b9ad3a533d72ef089dfdcc904a35
陳光華; 莊雅蓁; ,資訊檢索之中文詞彙擴展,"資訊傳播與圖書館學, 8",,1,59-75,2001,,e3ff914317e9f76d3b9fb1e421865a38
