題名,作者/創作者,文獻出處,學位論文,主題,MESH,資料類型,摘要,目錄,其他題名,相關題名,叢書,出版者,出版日期,版本,格式,刊期,資源來源,課程資訊,識別號,合訂,訂購註,附註,附註,附註,適用對象,附註,語言註,影音資料,數位檔案,附註,永久連結
1998臺北中華美食展現場紀實片,上允傳播公司. = 臺北中華美食展籌備委員會 ,,,烹飪,,,,,臺北中華美食展現場紀實片,,,臺北市 : 臺北中華美食展籌備委員會,民國87,,"1捲卡式帶(約25分) : 有聲,彩色 ; 1/2吋",,圖書館目錄,,,,,,,,,,,,,,https://uco-tku.primo.exlibrisgroup.com/permalink/886UCO_TKU/mt92fk/alma991002481819705912
台灣美食壹之選 ,壹週刊. 美食旅遊組 ,,,餐飮業= 小吃= 臺灣,,,,,臺灣美食壹之選,其他版本 : 2009美食壹之選 ,,臺北市 : 四塊玉文化公司,2010民995月,初版 ; [修訂版],171面 : 彩圖 ; 23公分,,圖書館目錄,,ISBN : 9789866334207 (平裝) :,,,原書名 : 2009美食壹之選,,,,,,,,,https://uco-tku.primo.exlibrisgroup.com/permalink/886UCO_TKU/mt92fk/alma991006108859705912
東京B級美食 : 在地老饕隱藏版美食探險之旅 ,"黃國華, 著 ",,,餐飲業= 旅遊= 日本東京都,,,,"1, B級美食 / 主食 / 超值--2, 甜點 / 伴手禮",在地老饕隱藏版美食探險之旅= B級美食 / 主食 / 超值= 甜點 / 伴手禮,,Happy Leisure ; 63-64 ,臺北市 : 如何出版社有限公司,2014,初版,2冊 : 彩圖 ; 23公分 + 小冊子1冊,,圖書館目錄,,ISBN : 9789861363776 (平裝 : v.1) := ISBN : 9789861363783 (平裝 : v.2) :,,,含附錄,,,,,,,,,https://uco-tku.primo.exlibrisgroup.com/permalink/886UCO_TKU/mt92fk/alma991007885229705912
北台灣101家單車美食呷透透 ,單車美食特搜小組 ,,,腳踏車旅行= 餐飮業= 餐廳= 臺灣,,,,,北臺灣101家單車美食呷透透,,iDO ; 58 ,臺北市 : 平裝本出版公司,2010民991月,初版,155面 : 彩圖 ; 21公分,,圖書館目錄,,ISBN : 9789578037588 (平裝) :,,,,,,,,,,,,https://uco-tku.primo.exlibrisgroup.com/permalink/886UCO_TKU/mt92fk/alma991006100779705912
壹週刊首選中南部夜市美食 : 臺中.南投.彰化.雲林.嘉義.臺南.高雄.屏東.臺東.花蓮人氣小吃 ,壹週刊. 美食旅遊組 ,,,餐飮業= 小吃= 臺灣,,,,,中南部夜市美食,,Happy leisure ; 54 ,臺北市 : 如何出版社公司,2011民1008月,初版,287面 : 彩圖 ; 21公分,,圖書館目錄,,ISBN : 9789861362939 (平裝) :,,,,,,,,,,,,https://uco-tku.primo.exlibrisgroup.com/permalink/886UCO_TKU/mt92fk/alma991006703949705912
美食大三通 德國美食通 ,"曾國城, 主持 = 三立電視臺 ",,,飲食= 烹飪,,,漢堡是德國第二大城第一大港，因為易北河和其他河川湖泊密佈的關係，使得這個城市的水運和貿易特別發達，您一定不知道，漢堡市區大小橋樑加起來，比號稱水鄉的威尼斯還要多，漢堡的浪漫漢堡的美食，有著與柏林截然不同的魔力。,"v.1, 德國香腸是窮人食物?--v.2, 拿破崙佔領德國時,最愛的餐廳--v.3, 睡在燈塔船上.有美食還有爵士","德國香腸是窮人食物? [錄影資料]= 拿破崙佔領德國時,最愛的餐廳 [錄影資料]= 睡在燈塔船上.有美食還有爵士 [錄影資料]",,三立地理雜誌 ,臺北市 : 采昌國際多媒體,2006,,"3張數位影音光碟(135分) : 有聲, 彩色 ; 4 3/4吋",,圖書館目錄,,,,,地理風光類,主持人 : 曾國城,,普遍級,,"國語發音, 中文字幕",,,,https://uco-tku.primo.exlibrisgroup.com/permalink/886UCO_TKU/mt92fk/alma991003196579705912
肥到深處無怨油 : 美食激進份子帶你吃到飽! ,"美食激進份子, 著 ",,,餐飲業,,,,,美食激進份子帶你吃到飽.,,,"臺北市 : Marine Phenix Co., LTD",2007民96,初版.,219面 : 彩圖 ; 21公分,,圖書館目錄,,ISBN : 9789868379008 (平裝) :,,,,,,,,,,,,https://uco-tku.primo.exlibrisgroup.com/permalink/886UCO_TKU/mt92fk/alma991004024649705912
1997臺北中華美食展活動紀錄片,上允傳播公司. = 臺北中華美食展籌備委員會. ,,,烹飪,,,,,,,,臺北市 : 臺北中華美食展籌備委員會,1997,,"1捲卡式帶(約25分) : 有聲,彩色 ; 1/2吋. + 書1冊",,圖書館目錄,,,,,時間:民國八十六年八月廿九至九月一日,,,,,,,,,https://uco-tku.primo.exlibrisgroup.com/permalink/886UCO_TKU/mt92fk/alma991001055249705912
1996臺北中華美食展活動紀錄片,臺北中華美食展籌備委員會. = 上允傳播公司. ,,,飲食 -- 中國,,,,,1996 Taipei Chinese food festival,,,臺北市 : 臺北中華美食展籌備委員會,民國86?,,"1捲卡式帶(約30分) : 彩色,有聲 ; 1/2吋.",,圖書館目錄,,,,,"”時間:八十五年八月十五~十八日,上午十時至下午五時”= ”地點:外貿協會松山展覽館”",,,,,,,,,https://uco-tku.primo.exlibrisgroup.com/permalink/886UCO_TKU/mt92fk/alma991000304939705912
臺灣美食帝國 : 臺灣26家餐飮企業名店特色故事 ,中衛發展中心. 臺灣美食推動服務團隊 ,,,餐飮業= 臺灣,,,,,台灣美食帝國 : 台灣26家餐飮企業名店特色故事= 台灣26家餐飮企業名店特色故事,,名人食尚map ; 06 ,臺北市 : 橘子文化事業公司,2011民100,初版,223面 : 彩圖 ; 23公分,,圖書館目錄,,ISBN : 9789866062070 (平裝) :,,,,,,,,,,,,https://uco-tku.primo.exlibrisgroup.com/permalink/886UCO_TKU/mt92fk/alma991006719679705912
